pps_mean,pps,pps_var,bps,cpu_idle,rssi_mean,rssi_var,label
0.016915,75,0.000392,17270,26.61,-74.5,130.65,0
0.017956,78,0.000421,19392,28.92,-79.2,120.84,0
0.015638,79,0.000236,20306,26.4,-77.6,136.29,0
0.013574,91,0.000265,23356,26.07,-77.7,163.12,0
0.011606,126,0.000264,29294,30.51,-81.8,143.46,0
0.024553,60,0.000544,16067,30.63,-74.9,200.52,0
0.015749,75,0.000228,23378,24.32,-77.5,174.7,0
0.014883,83,0.000262,19725,26.3,-78.5,181.98,0
0.017945,70,0.000303,20022,26.3,-77.2,167.67,0
0.012734,99,0.000219,26107,27.66,-82,97.91,0
0.024075,58,0.000491,14438,28.8,-75.8,122.96,0
0.0181,68,0.000325,17630,26.07,-76.6,166.63,0
0.006558,285,0.000159,81653,39.37,-65.7,292.41,0
0.015402,238,0.00033,73171,76.39,-76.4,96.92,0
0.011618,335,0.000224,97806,81.41,-76.8,139.62,0
0.016924,182,0.000349,40811,64.41,-72,218.36,0
0.016455,174,0.000484,39395,58.68,-75,191.9,0
0.009901,124,0.000195,24244,25.76,-75.5,204.73,0
0.018147,91,0.0003,21702,34.85,-75.5,219.79,0
0.017639,93,0.000367,22429,34.39,-76.2,190.37,0
0.021542,67,0.000341,17246,29.52,-77,187.57,0
0.017343,95,0.000307,19046,34.36,-69.7,300.81,0
0.016385,89,0.000288,20065,30.04,-75.3,208.66,0
0.018779,65,0.000455,16407,26.6,-77.3,182.42,0
0.015578,92,0.000374,22238,31.15,-78.2,125.05,0
0.021368,77,0.000409,19808,33.54,-73.6,194.92,0
0.009127,134,0.000133,36167,27.21,-80.7,118.7,0
0.019872,73,0.000473,17701,29.88,-77.5,168.19,0
0.01756,96,0.000319,21407,36.11,-73.4,221.66,0
0.024163,67,0.000413,14085,33.3,-74.9,201.51,0
0.02593,111,0.000524,39463,59.06,-75.4,175.46,0
0.021361,116,0.000438,28746,51.73,-78.2,121.45,0
0.016481,89,0.000287,21438,30.48,-78.4,141.79,0
0.024351,53,0.000534,11635,26.67,-75.5,170.7,0
0.013717,130,0.000369,30867,38.1,-75.5,276.93,0
0.015471,106,0.000281,23805,33.87,-76,239.26,0
0.008924,138,0.000112,26631,26.35,-75.6,311.62,0
0.008595,172,0.000147,38659,31.16,-78.8,240.42,0
0.009156,129,0.000103,28968,24.79,-80.8,203.7,0
0.018165,68,0.000267,14936,26.12,-76.4,262.63,0
0.015341,81,0.00031,16706,25.25,-70.3,399.51,0
0.013923,92,0.00023,22531,26.38,-78,208.02,0
0.018931,63,0.000503,13541,24.45,-72.7,295.18,0
0.013943,103,0.000201,25210,30.07,-76.4,247.08,0
0.017106,183,0.000333,42627,64,-77.1,213.77,0
0.019326,104,0.000396,20954,42.32,-75,275.58,0
0.019591,75,0.000438,19831,30.25,-76.8,147.71,0
0.017233,83,0.000422,19845,29.74,-76.5,169.48,0
0.023657,78,0.000602,17039,37.69,-75.7,204.04,0
0.016534,124,0.00036,25449,42.97,-74.6,283.47,0
0.019552,161,0.000429,45658,64.2,-74,242.25,0
0.016623,108,0.000241,23461,37,-77,212.56,0
0.022069,56,0.000318,13400,25.96,-74.1,215.01,0
0.010936,132,0.000196,30583,30.75,-78.3,165.13,0
0.017586,84,0.000355,19449,30.87,-75.3,235.5,0
0.014139,114,0.000286,28758,33.58,-77.6,202.52,0
0.019882,84,0.000345,16578,33.79,-72,277.99,0
0.010351,117,0.000275,24853,25.84,-72.1,337.72,0
0.019876,93,0.000393,19482,38.27,-71.3,288.11,0
0.019225,107,0.000342,25542,43.26,-75,231.49,0
0.015056,82,0.000295,17768,26.84,-74.8,162.21,0
0.017336,95,0.000389,20527,34.42,-68.9,283.81,0
0.007712,185,0.000153,44700,31.2,-77.2,218.97,0
0.018284,182,0.00033,44565,68.96,-76.1,162.84,0
0.015138,133,0.000341,31480,43.75,-78.4,130.7,0
0.014854,124,0.000262,27425,40.25,-74.8,240.04,0
0.014375,100,0.000274,25248,30.58,-78.5,104.59,0
0.019008,76,0.000423,20336,30.25,-77.3,140.67,0
0.018685,143,0.000405,38126,55.1,-79.4,119.32,0
0.015615,262,0.000363,70541,83.99,-76.9,168.67,0
0.017654,117,0.000368,30358,42.75,-79.6,94.06,0
0.015793,408,0.000289,106248,133.87,-80.2,115.81,0
0.013649,249,0.000247,62388,70.76,-80.3,89.18,0
0.016877,98,0.000329,25574,36.12,-76.4,149.77,0
0.015925,132,0.000284,30988,44.05,-78.3,157.03,0
0.02038,78,0.000319,20109,32.93,-74,158.92,0
0.008806,163,0.00014,38297,30.75,-77.8,117.93,0
0.012892,114,0.000202,26868,30.9,-79.7,86.66,0
